Event Naam,Event Id,Klant Id,Data

view_item_list,10,,"{""item_list_id"":""Vierkante koker"",""item_list_name"":""Vierkante koker"",""items"":[{""item_id"":""1229_1385"",""item_name"":""aluminium koker 15 x 15 x 2mm  A"",""currency"":""EUR"",""item_category"":""Vierkante koker"",""price"":""8.29"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""1230_1392"",""item_name"":""aluminium koker 20 x 20 x 2mm  A"",""currency"":""EUR"",""item_category"":""Vierkante koker"",""price"":""10.51"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""1231_1399"",""item_name"":""aluminium koker 25 x 25 x 2mm  A"",""currency"":""EUR"",""item_category"":""Vierkante koker"",""price"":""12.74"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""1232_1406"",""item_name"":""aluminium koker 30 x 30 x 2mm  A"",""currency"":""EUR"",""item_category"":""Vierkante koker"",""price"":""14.96"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""1233_1413"",""item_name"":""aluminium koker 35 x 35 x 2mm  A"",""currency"":""EUR"",""item_category"":""Vierkante koker"",""price"":""17.19"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""1234_1420"",""item_name"":""aluminium koker 40 x 40 x 2mm  A"",""currency"":""EUR"",""item_category"":""Vierkante koker"",""price"":""19.41"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""1235_1427"",""item_name"":""aluminium koker 45 x 45 x 2mm  A"",""currency"":""EUR"",""item_category"":""Vierkante koker"",""price"":""21.64"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""1236_1434"",""item_name"":""aluminium koker 50 x 50 x 2mm  A"",""currency"":""EUR"",""item_category"":""Vierkante koker"",""price"":""23.87"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""1451_2743"",""item_name"":""aluminium koker 60 x 60 x 2mm  A"",""currency"":""EUR"",""item_category"":""Vierkante koker"",""price"":""28.28"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""1237_1441"",""item_name"":""aluminium koker 80 x 80 x 2mm  A"",""currency"":""EUR"",""item_category"":""Vierkante koker"",""price"":""37.22"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""1238_1448"",""item_name"":""aluminium koker 100 x 100 x 2mm  A"",""currency"":""EUR"",""item_category"":""Vierkante koker"",""price"":""46.12"",""item_brand"":""No brand"",""quantity"":""1""}]}"
add_to_cart,13,85732,"{""currency"":""EUR"",""value"":""10.93"",""items"":[{""item_id"":""1009"",""item_name"":""Stalen blok 100 x 60 x 30mm"",""currency"":""EUR"",""item_category"":""Stalen blok"",""price"":""10.93"",""item_brand"":""No brand""}]}"
view_item_list,11,,"{""item_list_id"":""Geperforeerd rond"",""item_list_name"":""Geperforeerd rond"",""items"":[{""item_id"":""980_3981"",""item_name"":""geperforeerd staal 1000x500x1,5  Rond 5mm  A"",""currency"":""EUR"",""item_category"":""Geperforeerd rond"",""price"":""33.28"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""981_3989"",""item_name"":""geperforeerd staal 1000x500x1,5  Rond 10mm  A"",""currency"":""EUR"",""item_category"":""Geperforeerd rond"",""price"":""30.86"",""item_brand"":""No brand"",""quantity"":""1""}]}"
add_to_cart,14,85732,"{""currency"":""EUR"",""value"":""10.93"",""items"":[{""item_id"":""1009"",""item_name"":""Stalen blok 100 x 60 x 30mm"",""currency"":""EUR"",""item_category"":""Stalen blok"",""price"":""10.93"",""item_brand"":""No brand""}]}"
view_item_list,10,,"{""item_list_id"":""Spangreep"",""item_list_name"":""Spangreep"",""items"":[{""item_id"":""763"",""item_name"":""spangreep  mannelijk M6 x 25 "",""currency"":""EUR"",""item_category"":""Spangreep"",""price"":""4.94"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""764"",""item_name"":""spangreep  mannelijk M8 x 30 "",""currency"":""EUR"",""item_category"":""Spangreep"",""price"":""5.94"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""765"",""item_name"":""spangreep  mannelijk M10 x 30 "",""currency"":""EUR"",""item_category"":""Spangreep"",""price"":""8.2"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""842"",""item_name"":""spangreep  mannelijk M12 x 30 "",""currency"":""EUR"",""item_category"":""Spangreep"",""price"":""7.51"",""item_brand"":""No brand"",""quantity"":""1""}]}"
view_item_list,,,"{""item_list_id"":""Corten u-profiel"",""item_list_name"":""Corten u-profiel"",""items"":[{""item_id"":""1542_4092"",""item_name"":""Corten u-profiel 20 x 40 x 20 x 2mm  A 2000"",""currency"":""EUR"",""item_category"":""Corten u-profiel"",""price"":""14.47"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""1543_4088"",""item_name"":""Corten u-profiel 30 x 60 x 30 x 2mm  A 2000"",""currency"":""EUR"",""item_category"":""Corten u-profiel"",""price"":""17.47"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""1544_4083"",""item_name"":""Corten u-profiel 40 x 80 x 40 x 2mm  A 2000"",""currency"":""EUR"",""item_category"":""Corten u-profiel"",""price"":""20.47"",""item_brand"":""No brand"",""quantity"":""1""}]}"
view_item_list,10,,"{""item_list_id"":""Geperforeerd rond"",""item_list_name"":""Geperforeerd rond"",""items"":[{""item_id"":""980_3981"",""item_name"":""geperforeerd staal 1000x500x1,5  Rond 5mm  A"",""currency"":""EUR"",""item_category"":""Geperforeerd rond"",""price"":""33.28"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""981_3989"",""item_name"":""geperforeerd staal 1000x500x1,5  Rond 10mm  A"",""currency"":""EUR"",""item_category"":""Geperforeerd rond"",""price"":""30.86"",""item_brand"":""No brand"",""quantity"":""1""}]}"
purchase,,,"{""currency"":""EUR"",""value"":""67.02"",""transaction_id"":""YS-122151"",""coupon"":""no_coupon"",""shipping"":""8.26"",""tax"":""15.81"",""items"":[{""item_id"":""970_3615"",""item_name"":""plaat staal 500 x 1000 x 3.00mm  A"",""currency"":""EUR"",""item_category"":""Staalplaat"",""price"":""81.1"",""item_brand"":""No brand"",""quantity"":""2""}]}"
view_item,10,,"{""currency"":""EUR"",""value"":""13.58"",""items"":[{""item_id"":""1308_1910"",""item_name"":""rvs koker 15x15x1,5mm  A"",""currency"":""EUR"",""item_category"":""Koker vierkant"",""price"":""13.58"",""item_brand"":""No brand""}]}"
